ASSET,METRIC,REAL_VAL,REAL_Z,PRICE_Z,GAP,STATUS
TRADFISEIS,N/A,0.0,0.0,-1.26,0.0,💸 PURE_SPECULATION
TRADFIUVE,N/A,0.0,0.0,2.77,0.0,💸 PURE_SPECULATION
TRADFICCTG,N/A,0.0,0.0,-1.6,0.0,💸 PURE_SPECULATION
TRADFISUGP,N/A,0.0,0.0,0.88,0.0,💸 PURE_SPECULATION
TRADFIDRH,N/A,0.0,0.0,1.22,0.0,💸 PURE_SPECULATION
TRADFIVLT,N/A,0.0,0.0,-1.45,0.0,💸 PURE_SPECULATION
TRADFIRYTM,N/A,0.0,0.0,-3.26,0.0,💸 PURE_SPECULATION
TRADFIFR,N/A,0.0,0.0,-2.01,0.0,💸 PURE_SPECULATION
TRADFIIBHI,N/A,0.0,0.0,-2.27,0.0,💸 PURE_SPECULATION
TRADFITPB,N/A,0.0,0.0,2.4,0.0,💸 PURE_SPECULATION
TRADFIAUTL,N/A,0.0,0.0,-2.31,0.0,💸 PURE_SPECULATION
AKASHNETWORK,N/A,0.0,0.0,2.27,0.0,💸 PURE_SPECULATION
REALLINK,N/A,0.0,0.0,1.7,0.0,💸 PURE_SPECULATION
TRADFIDGRO,N/A,0.0,0.0,-2.2,0.0,💸 PURE_SPECULATION
TRADFIXXI,N/A,0.0,0.0,0.59,0.0,💸 PURE_SPECULATION
TRADFIIDAI,N/A,0.0,0.0,0.33,0.0,💸 PURE_SPECULATION
TRADFIPY,N/A,0.0,0.0,-0.35,0.0,💸 PURE_SPECULATION
